lemma	core_rank	frequency	pmw
主要	2201	1890	23.1286522
建設	3743	1886	23.0797027
借金	2771	1885	23.0674653
形式	6219	1880	23.0062784
速度	3975	1879	22.9940410
単位	2464	1879	22.9940410
ゼロ	2061	1876	22.9573288
解く	5205	1863	22.7982429
日常	2464	1856	22.7125812
中学	2771	1852	22.6636317
苦手	2061	1849	22.6269195
移動	3743	1842	22.5412578
プラス	2634	1841	22.5290205
電気	2201	1840	22.5167831
熱心	2898	1838	22.4923083
ビデオ	1589	1838	22.4923083
的確	1361	1836	22.4678336
発表	1952	1836	22.4678336
正式	2771	1833	22.4311214
児童	3370	1822	22.2965102
体制	2011	1813	22.1863738
広告	4222	1802	22.0517626
そうして	3743	1800	22.0272878
食品	5205	1799	22.0150504
布	6219	1795	21.9661009
運	5678	1792	21.9293887
独特	2464	1788	21.8804392
マイナス	3202	1781	21.7947775
給料	4222	1771	21.6724037
ピアノ	3054	1765	21.5989794
制限	4507	1759	21.5255551
機関	4507	1755	21.4766056
冷静	4222	1752	21.4398935
成立	3975	1751	21.4276561
胃	4831	1749	21.4031813
直後	5205	1745	21.3542318
血液	7561	1744	21.3419944
スタート	2898	1743	21.3297570
科学	4222	1742	21.3175196
テスト	4222	1736	21.2440953
ピンク	3202	1736	21.2440953
孫	4831	1736	21.2440953
活用	1048	1726	21.1217215
主婦	1804	1723	21.0850094
正午	11989	1722	21.0727720
森林	505	1718	21.0238225
ラジオ	2542	1718	21.0238225
岩	6810	1715	20.9871103
競争	1177	1713	20.9626356
宿	5205	1713	20.9626356
ぶつかる	3975	1710	20.9259234
構成	3054	1705	20.8647365
試験	3552	1703	20.8402617
グラス	2464	1701	20.8157870
毛	5678	1699	20.7913122
教科書	2290	1694	20.7301253
せめて	5678	1692	20.7056505
ガラス	6219	1689	20.6689384
平均	2771	1688	20.6567010
プレゼント	2771	1684	20.6077515
神経	3975	1680	20.5588019
台所	3975	1679	20.5465646
鉄	6219	1678	20.5343272
外部	3743	1673	20.4731403
景気	2201	1673	20.4731403
輸出	3552	1671	20.4486655
規則	6219	1668	20.4119534
輪	4831	1666	20.3874786
例外	3743	1664	20.3630038
商売	2464	1655	20.2528674
作者	4222	1653	20.2283926
氷	7561	1652	20.2161552
角度	7561	1650	20.1916805
あら	5678	1643	20.1060188
スープ	3054	1640	20.0693067
五つ	3370	1636	20.0203571
型	3743	1632	19.9714076
ナンバー	4507	1632	19.9714076
直前	3054	1631	19.9591702
順調	3370	1627	19.9102207
はあ	8613	1626	19.8979833
付き合い	3202	1624	19.8735085
無事	3370	1624	19.8735085
勝負	3202	1623	19.8612712
長男	1659	1609	19.6899478
味方	4831	1605	19.6409983
池	10002	1604	19.6287609
回復	3370	1596	19.5308618
面積	5205	1593	19.4941497
芸術	5205	1592	19.4819123
はる	5205	1591	19.4696749
性	7561	1589	19.4452002
軍	2898	1586	19.4084880
感動	3054	1584	19.3840133
丸	4831	1584	19.3840133
願い	3054	1582	19.3595385
気温	4507	1580	19.3350637
日曜日		1579	19.3228263
設備	3552	1575	19.2738768
トラック	4831	1571	19.2249273
シャツ	10002	1568	19.1882151
リズム	3370	1567	19.1759778
昼間	4222	1565	19.1515030
安定	2290	1559	19.0780787
バター	4507	1554	19.0168918
放送	2634	1553	19.0046544
葉書	4507	1551	18.9801797
首相	880	1550	18.9679423
実績	2898	1550	18.9679423
台風	2464	1549	18.9557049
昼食	10002	1548	18.9434675
労働	5678	1540	18.8455684
ぴったり	5205	1535	18.7843815
番号	7561	1527	18.6864825
事務	7561	1525	18.6620077
快適	2634	1524	18.6497703
祖父	3975	1524	18.6497703
ノート	8613	1519	18.5885834
不幸	6810	1517	18.5641087
得意	2898	1514	18.5273965
営業	3743	1509	18.4662096
設計	2201	1508	18.4539722
メモ	4507	1506	18.4294975
スカート	4831	1504	18.4050227
注文	3054	1503	18.3927853
前後	7561	1501	18.3683105
運転手	2464	1498	18.3315984
現金	2771	1495	18.2948863
自殺	4831	1495	18.2948863
寺	5205	1493	18.2704115
毎月	3975	1489	18.2214620
苦労	4222	1486	18.1847498
同一	5678	1477	18.0746134
広場	8613	1471	18.0011891
知人	3552	1461	17.8788153
ケーキ	6219	1459	17.8543405
議会	3370	1455	17.8053910
夏休み	2898	1455	17.8053910
タオル	3370	1447	17.7074919
セット	3552	1440	17.6218302
文学	2634	1437	17.5851181
空港	3370	1436	17.5728807
始まり	4222	1434	17.5484059
茶	33479	1431	17.5116938
資本	20515	1430	17.4994564
小屋		1428	17.4749817
予約	3202	1427	17.4627443
完成	3743	1422	17.4015574
品	5205	1422	17.4015574
農民	10002	1417	17.3403704
ホーム	3054	1411	17.2669462
会員	2898	1401	17.1445723
学者	4507	1401	17.1445723
中学校	2542	1400	17.1323350
円	7561	1395	17.0711480
アルバム	6219	1391	17.0221985
数学	6810	1390	17.0099611
ステージ	2201	1389	16.9977237
お		1382	16.9120621
印	8613	1378	16.8631125
消費	2634	1376	16.8386378
自身	2771	1369	16.7529761
身分	10002	1369	16.7529761
見送る	3054	1368	16.7407387
今月	1500	1367	16.7285013
損害	5678	1367	16.7285013
オフィス	3202	1364	16.6917892
角	7561	1359	16.6306023
別れ	5678	1355	16.5816528
クリスマス	4507	1349	16.5082285
七日		1349	16.5082285
下手	6810	1348	16.4959911
友	15135	1347	16.4837537
当日	2376	1346	16.4715163
行事	2771	1345	16.4592789
一生	5678	1344	16.4470416
パンツ	2634	1344	16.4470416
列	6810	1342	16.4225668
青	5205	1341	16.4103294
地下	3975	1341	16.4103294
章	10002	1338	16.3736173
真っ直ぐ	3370	1338	16.3736173
鳴く	5678	1336	16.3491425
鉄道	4222	1331	16.2879556
礼	20515	1331	16.2879556
神社	2898	1329	16.2634808
実力	2376	1327	16.2390061
家事	784	1321	16.1655818
観客	2898	1320	16.1533444
文明	5205	1320	16.1533444
谷	10002	1319	16.1411070
インタビュー	2898	1309	16.0187332
通信	7561	1308	16.0064958
記者	2542	1307	15.9942584
カレー	10002	1306	15.9820210
折れる	3202	1301	15.9208341
さっぱり	4507	1301	15.9208341
サラリーマン	4831	1299	15.8963594
港	1952	1294	15.8351724
防止	3202	1290	15.7862229
長期	3370	1289	15.7739855
板	3552	1287	15.7495108
運転	5205	1284	15.7127986
特色	6219	1284	15.7127986
夫人	6219	1283	15.7005612
貿易	3975	1283	15.7005612
海岸	3054	1282	15.6883239
ナイフ	5678	1282	15.6883239
人形	5678	1280	15.6638491
平日	7561	1279	15.6516117
大して	11989	1278	15.6393743
議員	5678	1275	15.6026622
性能	3054	1274	15.5904248
サイン	10002	1269	15.5292379
ぼんやり	4507	1269	15.5292379
地区	4831	1268	15.5170005
成分	5205	1266	15.4925257
大会	3202	1266	15.4925257
深夜	3202	1262	15.4435762
ミス	4222	1261	15.4313388
進歩	5205	1260	15.4191015
精々	3975	1258	15.3946267
上下	6219	1255	15.3579145
通知	6219	1255	15.3579145
コート	3370	1254	15.3456772
面接	4507	1251	15.3089650
スーツ	3743	1243	15.2110660
湖	11989	1243	15.2110660
主役	3552	1239	15.1621164
先頭	6810	1235	15.1131669
目安	3370	1233	15.0886921
身長	5205	1232	15.0764548
増大	5678	1231	15.0642174
ほう	20515	1231	15.0642174
さっさと	4222	1230	15.0519800
職	4831	1230	15.0519800
テキスト	3552	1222	14.9540809
コピー	5678	1220	14.9296062
レンズ	4507	1218	14.9051314
あれ	5678	1216	14.8806566
そっち	5678	1216	14.8806566
土曜日		1216	14.8806566
カーテン	5678	1213	14.8439445
都	7561	1213	14.8439445
農村	4831	1209	14.7949950
流行る	3552	1209	14.7949950
関西	4507	1200	14.6848585
焼ける	8613	1198	14.6603838
以後	7561	1196	14.6359090
のんびり	6810	1192	14.5869595
アフリカ	4222	1191	14.5747221
テープ	4831	1191	14.5747221
スイッチ	8613	1190	14.5624847
昨夜	6219	1179	14.4278735
交通	4507	1178	14.4156361
日程	3975	1178	14.4156361
用意	5678	1176	14.3911614
フライパン	2290	1175	14.3789240
部品	4222	1171	14.3299744
林	6810	1170	14.3177371
ガス	10002	1165	14.2565502
帯	8613	1164	14.2443128
コンサート	3743	1163	14.2320754
出発	7561	1162	14.2198380
正月	15135	1162	14.2198380
反省	3552	1162	14.2198380
関東	4222	1159	14.1831259
建築	5678	1157	14.1586511
センター	7561	1157	14.1586511
アルバイト	8613	1154	14.1219390
組合	15135	1152	14.0974642
重点	3552	1150	14.0729894
都会	3370	1150	14.0729894
ショップ	3975	1146	14.0240399
仏	7561	1142	13.9750904
苦情	5678	1139	13.9383782
講演	3370	1137	13.9139035
役所	6219	1133	13.8649539
銀	20515	1132	13.8527165
予防	4507	1132	13.8527165
アルコール	10002	1131	13.8404792
今週	1702	1130	13.8282418
筆	11989	1130	13.8282418
青少年	10002	1124	13.7548175
実行	5678	1123	13.7425801
住まい	6219	1122	13.7303427
留める	5205	1120	13.7058680
流行	4222	1116	13.6569184
飲み物	3743	1114	13.6324437
チーズ	5205	1113	13.6202063
続き	6219	1110	13.5834941
余所	8613	1110	13.5834941
カラー	11989	1109	13.5712568
損	3975	1108	13.5590194
大学生	3370	1108	13.5590194
へん	4831	1104	13.5100698
バンド	4831	1102	13.4855951
飯	2634	1099	13.4488829
レコード	4507	1097	13.4244082
差別	6810	1093	13.3754586
用語	6810	1088	13.3142717
満足	4222	1087	13.3020344
果物	7561	1080	13.2163727
プール	3054	1077	13.1796605
シャワー	10002	1072	13.1184736
役人	4831	1071	13.1062362
国境	2542	1069	13.0817615
デート	2123	1069	13.0817615
ズボン	6810	1067	13.0572867
ぶつける	5678	1066	13.0450493
観察	11989	1060	12.9716250
強引	6810	1060	12.9716250
バック	8613	1054	12.8982007
家具	4831	1053	12.8859634
禁止	3370	1050	12.8492512
かん	6219	1049	12.8370138
限度	7561	1048	12.8247764
住居	2771	1048	12.8247764
リボン	11989	1046	12.8003017
編集	8613	1043	12.7635895
食堂	4507	1040	12.7268774
画家	6219	1039	12.7146400
開始	3743	1034	12.6534531
エレベーター	5678	1032	12.6289783
ベンチ	4831	1030	12.6045036
容器	3975	1024	12.5310793
びっくり	4507	1023	12.5188419
回数	6810	1022	12.5066045
ずれる	4507	1022	12.5066045
演技	7561	1021	12.4943671
独立	4831	1020	12.4821298
明ける	8613	1016	12.4331802
ギター	5205	1014	12.4087055
こっそり	6219	1012	12.3842307
実感	5205	1008	12.3352812
コンクリート	3370	1006	12.3108064
そっくり	6810	1004	12.2863316
トンネル	4507	1004	12.2863316
絵画	8613	1003	12.2740943
信号	3975	1003	12.2740943
広さ	4831	1000	12.2373821
坂	5205	999	12.2251447
境	7561	998	12.2129073
追加	15135	996	12.1884326
サラダ	3054	992	12.1394831
しつこい	7561	992	12.1394831
西洋	8613	990	12.1150083
マイク	15135	990	12.1150083
全力	5205	986	12.0660588
期限	5678	985	12.0538214
ドライブ	5678	984	12.0415840
行方	2376	983	12.0293466
旅館	5678	983	12.0293466
石油	7561	979	11.9803971
活力	5205	976	11.9436849
賛成	7561	976	11.9436849
ランチ	3743	975	11.9314476
製造	4507	974	11.9192102
楽器	5678	971	11.8824980
竹	11989	971	11.8824980
戸	33479	970	11.8702606
ゴール	3743	968	11.8457859
発売	1301	968	11.8457859
電波	2542	966	11.8213111
牛肉	3370	965	11.8090737
シーズン	10002	962	11.7723616
職人	3975	961	11.7601242
入院	3975	958	11.7234121
トレーニング	3975	955	11.6866999
シリーズ	3975	952	11.6499878
電子		951	11.6377504
共同	2771	949	11.6132756
支配	11989	949	11.6132756
州	20515	933	11.4174775
放る	5678	929	11.3685280
育児	3552	925	11.3195785
ペット	7561	923	11.2951037
発行	4831	919	11.2461542
可	20515	917	11.2216794
最低	6810	915	11.1972046
店員	4831	915	11.1972046
食料	8613	912	11.1604925
水面	10002	910	11.1360177
すっきり	3975	910	11.1360177
支出	6219	906	11.0870682
半ば	10002	906	11.0870682
女王	11989	904	11.0625934
ミルク	6810	904	11.0625934
一家	3975	903	11.0503560
夜間	5205	900	11.0136439
信用	6219	897	10.9769318
税	7561	894	10.9402196
ドレス	10002	891	10.9035075
美術館	4507	891	10.9035075
ポスター	7561	887	10.8545579
予測	6810	886	10.8423205
フィルム	8613	884	10.8178458
木材	1894	884	10.8178458
移転	3552	882	10.7933710
デパート	10002	879	10.7566589
中間	5205	877	10.7321841
台	15135	874	10.6954720
パーティー	7561	874	10.6954720
ポスト	2898	873	10.6832346
ダンス	7561	872	10.6709972
不利	6810	870	10.6465224
来週	6219	870	10.6465224
地味	6219	865	10.5853355
安心	3370	863	10.5608608
金持ち	11989	862	10.5486234
金曜日		861	10.5363860
校長	10002	860	10.5241486
コード	10002	860	10.5241486
ハンドル	10002	857	10.4874365
議長	4222	856	10.4751991
レポート	15135	853	10.4384869
ベルト	4507	852	10.4262496
スケジュール	6219	849	10.3895374
神話	7561	847	10.3650626
性別	4831	843	10.3161131
知事	4222	842	10.3038757
部長	2771	842	10.3038757
観光	3202	836	10.2304514
出口	6810	836	10.2304514
父母	10002	836	10.2304514
婦人	10002	831	10.1692645
地下鉄	8613	828	10.1325524
首都	10002	826	10.1080776
日曜	8613	825	10.0958402
からかう	20515	824	10.0836029
退く	7561	823	10.0713655
ガソリン	5205	822	10.0591281
あっち	11989	821	10.0468907
乗客	6810	820	10.0346533
国王	10002	818	10.0101786
回転	15135	817	9.9979412
心理	7561	811	9.9245169
大陸	8613	811	9.9245169
気候	5678	808	9.8878047
国語	3202	808	9.8878047
安易	4831	807	9.8755674
近代	6810	805	9.8510926
ノー	7561	805	9.8510926
不自由	4222	805	9.8510926
コップ	10002	803	9.8266178
中止	8613	802	9.8143805
歌手	7561	800	9.7899057
おや	33479	798	9.7654309
解ける	11989	798	9.7654309
境界	15135	797	9.7531935
プラン	3743	796	9.7409562
本部	3370	794	9.7164814
六つ	6219	791	9.6797692
日中	5205	788	9.6430571
支給	7561	786	9.6185823
会合	3743	785	9.6063450
コンピューター	4222	785	9.6063450
地点	20515	784	9.5941076
課長	2898	783	9.5818702
パス	10002	779	9.5329207
ゴム	20515	775	9.4839711
成人	33479	774	9.4717338
ジーンズ	8613	773	9.4594964
年代	4831	773	9.4594964
天候	6219	770	9.4227842
カップ	6810	769	9.4105468
出身	15135	768	9.3983095
寺院	10002	768	9.3983095
代金	4222	768	9.3983095
不足		765	9.3615973
ロビー	6219	765	9.3615973
月曜日		764	9.3493599
平等	5678	761	9.3126478
集まり	20515	760	9.3004104
長女	3202	757	9.2636983
付近	15135	756	9.2514609
平ら	33479	754	9.2269861
役者	8613	754	9.2269861
破れる	11989	745	9.1168497
先週	6219	744	9.1046123
知らせ	7561	740	9.0556628
テント	5678	739	9.0434254
独身	10002	738	9.0311880
ジュース	6219	737	9.0189506
コレクション	33479	731	8.9455263
測定	33479	725	8.8721020
ボート		725	8.8721020
クリーム	11989	724	8.8598646
中年	8613	723	8.8476273
売買	6810	722	8.8353899
製作	5678	721	8.8231525
読書	5678	717	8.7742030
空中	10002	715	8.7497282
ネックレス	3975	711	8.7007787
東西	7561	709	8.6763039
ハンカチ	15135	707	8.6518292
連続	11989	700	8.5661675
貯金	10002	696	8.5172179
キャンプ	4831	694	8.4927432
医学	6810	693	8.4805058
パイプ	4831	691	8.4560310
スプーン	8613	687	8.4070815
アクセント	6810	686	8.3948441
解散	15135	686	8.3948441
産地	3743	686	8.3948441
重量	2201	684	8.3703694
スキー	3054	681	8.3336572
生まれ	10002	679	8.3091825
印刷	11989	675	8.2602329
真っ黒	6810	673	8.2357582
石炭	11989	672	8.2235208
ブレーキ	6810	671	8.2112834
大気	5205	666	8.1500965
気味		662	8.1011470
番	15135	662	8.1011470
大学院	2123	657	8.0399600
スター	15135	655	8.0154853
王子	20515	654	8.0032479
正		650	7.9542984
外交	3202	647	7.9175862
ふざける	15135	647	7.9175862
集会	3975	646	7.9053488
人事	7561	645	7.8931115
パスポート	2634	645	7.8931115
コーチ	6810	644	7.8808741
ネクタイ	15135	640	7.8319245
カバー	15135	637	7.7952124
演説	15135	635	7.7707376
見出し	33479	635	7.7707376
輸送	7561	635	7.7707376
オイル	15135	633	7.7462629
にっこり	11989	632	7.7340255
水道	20515	631	7.7217881
大	8613	631	7.7217881
人種	15135	629	7.6973133
ヘリコプター	5205	626	7.6606012
率	10002	625	7.6483638
野	20515	619	7.5749395
寄付	6219	618	7.5627021
有料	6219	618	7.5627021
会計	7561	616	7.5382274
テンポ	15135	615	7.5259900
夕飯	10002	611	7.4770405
こん	20515	610	7.4648031
土曜	11989	609	7.4525657
フォーク	4222	609	7.4525657
テニス	5205	608	7.4403283
プラスチック	10002	605	7.4036162
停止	11989	602	7.3669040
倍	4507	602	7.3669040
続々	5678	601	7.3546666
ワンピース	5678	601	7.3546666
過失	10002	600	7.3424293
止す	8613	599	7.3301919
受験	8613	596	7.2934797
不正	11989	595	7.2812424
勝ち	6810	594	7.2690050
姉妹	6219	594	7.2690050
ペン	20515	593	7.2567676
読み	10002	592	7.2445302
パーセント	11989	590	7.2200554
毎朝	10002	588	7.1955807
陸	20515	588	7.1955807
冷ます	33479	587	7.1833433
うっかり	10002	585	7.1588685
切手	6810	585	7.1588685
ボーナス	7561	584	7.1466312
シャッター	1760	583	7.1343938
過半数	5205	579	7.0854442
支店	11989	579	7.0854442
ベル	15135	578	7.0732069
マスク	15135	578	7.0732069
見学	15135	576	7.0487321
千	20515	574	7.0242573
対	11989	574	7.0242573
カーブ	10002	572	6.9997826
通貨	33479	572	6.9997826
セーター		571	6.9875452
カロリー		570	6.9753078
田	20515	569	6.9630704
ダム	6219	569	6.9630704
出版	15135	566	6.9263583
スタンド	7561	564	6.9018835
商店	5678	560	6.8529340
ジャーナリスト	4831	556	6.8039845
書店	15135	555	6.7917471
課税	11989	554	6.7795097
利害	20515	552	6.7550349
漁業	33479	551	6.7427975
年度	4507	551	6.7427975
アウト	20515	547	6.6938480
直	10002	543	6.6448985
ずらす	20515	543	6.6448985
まあまあ	33479	543	6.6448985
マーケット	7561	541	6.6204237
都心	4507	540	6.6081863
農産物	8613	540	6.6081863
アンテナ	8613	538	6.5837116
作物	10002	538	6.5837116
真似る	20515	538	6.5837116
東洋	33479	537	6.5714742
解放	33479	535	6.5469994
集合	10002	535	6.5469994
出席	8613	535	6.5469994
ワープロ	15135	535	6.5469994
銅	11989	532	6.5102873
農薬	11989	531	6.4980499
卒業	33479	530	6.4858125
南北	6810	529	6.4735751
観測	11989	525	6.4246256
どっと	11989	524	6.4123882
競馬	10002	522	6.3879135
学会	15135	519	6.3512013
サンダル	20515	518	6.3389639
研究室	6810	517	6.3267266
レジ	4222	514	6.2900144
重たい	8613	513	6.2777770
バケツ	15135	513	6.2777770
プリント	33479	513	6.2777770
ぶつぶつ	20515	512	6.2655396
作曲	33479	511	6.2533023
負け	10002	511	6.2533023
にこにこ	15135	510	6.2410649
シーツ	33479	509	6.2288275
省く	11989	506	6.1921153
方面	20515	505	6.1798780
サンプル	10002	503	6.1554032
マフラー	8613	502	6.1431658
競技	6810	501	6.1309284
新聞社	8613	499	6.1064537
乗り物	6810	497	6.0819789
助手	6219	496	6.0697415
ウイスキー	15135	492	6.0207920
スピーカー	33479	489	5.9840799
賞	10002	486	5.9473677
制作	7561	486	5.9473677
天然	4831	483	5.9106556
スクリーン	4831	482	5.8984182
一流	6810	481	5.8861808
サークル	10002	480	5.8739434
バイオリン	15135	480	5.8739434
金曜	11989	479	5.8617060
ユーモア	10002	479	5.8617060
消極的	10002	478	5.8494686
能		478	5.8494686
体育	8613	476	5.8249939
パイロット	5205	474	5.8005191
ライター	33479	473	5.7882817
ブラウス	5678	472	5.7760444
貨物	33479	471	5.7638070
アクセサリー	6219	469	5.7393322
フリー	7561	468	5.7270948
動物園	33479	467	5.7148574
科目	7561	465	5.6903827
名人	15135	465	5.6903827
ベテラン	7561	464	5.6781453
綿	20515	464	5.6781453
退ける	8613	463	5.6659079
ピン	15135	461	5.6414332
ちぎる	4831	458	5.6047210
電力	10002	457	5.5924836
一昨年	6219	455	5.5680089
高速	10002	455	5.5680089
ずらり	4222	452	5.5312967
火山	6810	450	5.5068219
どきどき	8613	449	5.4945846
集中	11989	448	5.4823472
録音	20515	447	5.4701098
毎週	6219	446	5.4578724
オーケストラ	33479	445	5.4456350
総理大臣	15135	443	5.4211603
反る	20515	440	5.3844481
略す	11989	440	5.3844481
留学生	3975	440	5.3844481
食料品	15135	431	5.2743117
ソファー		431	5.2743117
エプロン		430	5.2620743
せっせと	11989	430	5.2620743
モダン	7561	430	5.2620743
来月	5678	430	5.2620743
商社	33479	429	5.2498369
時速	11989	428	5.2375995
八つ	10002	427	5.2253622
カレンダー	20515	423	5.1764126
ミシン	33479	423	5.1764126
オートバイ	8613	422	5.1641752
岸	15135	421	5.1519379
記念	6810	420	5.1397005
前進	11989	420	5.1397005
ピストル	7561	420	5.1397005
失業	3370	418	5.1152257
ダイヤモンド	7561	416	5.0907510
うんと	15135	413	5.0540388
クーラー	10002	413	5.0540388
チップ	15135	411	5.0295640
工業		410	5.0173267
デモ	5678	410	5.0173267
水泳	10002	409	5.0050893
作文	8613	408	4.9928519
めでたい	33479	407	4.9806145
もしもし	20515	406	4.9683771
広々	8613	405	4.9561398
札		403	4.9316650
高級	15135	402	4.9194276
自動	7561	402	4.9194276
マスター	15135	402	4.9194276
サンドイッチ		400	4.8949528
引き止める	33479	399	4.8827155
回	11989	397	4.8582407
ざっと	10002	397	4.8582407
アイスクリーム	15135	394	4.8215286
局		394	4.8215286
化学	5678	393	4.8092912
理科	33479	393	4.8092912
向かい	20515	392	4.7970538
ジャム	33479	389	4.7603416
ビニール	11989	389	4.7603416
ブラシ	33479	389	4.7603416
位		388	4.7481043
ぴかぴか	15135	383	4.6869173
回り	11989	381	4.6624426
下り	15135	377	4.6134931
ふわふわ	20515	377	4.6134931
歯医者	15135	376	4.6012557
出場	5205	373	4.5645435
すっと	8613	373	4.5645435
マッチ	15135	373	4.5645435
ダイヤ	33479	372	4.5523061
登山	33479	372	4.5523061
団地	20515	370	4.5278314
商業		367	4.4911192
ビタミン	33479	366	4.4788819
ぎっしり	11989	365	4.4666445
ぐっすり	20515	365	4.4666445
先月	4507	365	4.4666445
天気予報	33479	365	4.4666445
貸し出し	8613	364	4.4544071
アナウンサー	33479	363	4.4421697
あの	5205	363	4.4421697
引退	11989	358	4.3809828
インク	33479	356	4.3565080
水曜日		354	4.3320333
短期	33479	349	4.2708464
火曜日		348	4.2586090
管	20515	347	4.2463716
さようなら	20515	347	4.2463716
入学	11989	346	4.2341342
スマート	20515	344	4.2096594
ハンバーグ	8613	341	4.1729473
×		341	4.1729473
みっともない	20515	341	4.1729473
合格	10002	339	4.1484725
予報	8613	339	4.1484725
代理	5205	338	4.1362352
スピーチ	7561	337	4.1239978
おおい	33479	336	4.1117604
大工	15135	336	4.1117604
明後日	15135	334	4.0872856
スカーフ	15135	331	4.0505735
留学	10002	331	4.0505735
ストーブ	15135	330	4.0383361
ロケット	10002	328	4.0138613
改造	8613	327	4.0016239
学科	6810	325	3.9771492
消防	10002	321	3.9281997
学部	5678	318	3.8914875
モーター	15135	318	3.8914875
スーツケース	10002	317	3.8792501
金庫	5205	314	3.8425380
自治	33479	311	3.8058258
大使	33479	309	3.7813511
しゃがむ	33479	308	3.7691137
通行	33479	308	3.7691137
ステーキ	20515	306	3.7446389
小	15135	305	3.7324015
親類	11989	303	3.7079268
判事	5205	303	3.7079268
昼休み	33479	302	3.6956894
サイレン	33479	301	3.6834520
とん		301	3.6834520
最終	11989	300	3.6712146
スクール	7561	300	3.6712146
木曜日		300	3.6712146
ヨット	3975	300	3.6712146
会議室	15135	299	3.6589773
旧		299	3.6589773
ボーイ	33479	298	3.6467399
スライド		297	3.6345025
芸能	33479	295	3.6100277
スリッパ	15135	292	3.5733156
売り場	6219	289	3.5366034
こないだ	33479	289	3.5366034
ばったり	20515	288	3.5243660
強気	15135	287	3.5121287
満員	8613	287	3.5121287
アイロン	20515	285	3.4876539
クラシック	20515	283	3.4631791
下品	15135	283	3.4631791
ペンキ	33479	280	3.4264670
賞金	8613	277	3.3897548
進学	15135	275	3.3652801
大使館	20515	275	3.3652801
日日	33479	275	3.3652801
茶色い	8613	274	3.3530427
南米	33479	274	3.3530427
よる	33479	274	3.3530427
コンセント	11989	272	3.3285679
ダブル		269	3.2918558
招待	20515	268	3.2796184
曜日	33479	268	3.2796184
加速	8613	267	3.2673810
ボールペン	15135	266	3.2551436
祝い		265	3.2429063
ハンサム		261	3.1939567
入社	6219	258	3.1572446
ストップ	20515	256	3.1327698
のろのろ	33479	256	3.1327698
生る	20515	252	3.0838203
平野		252	3.0838203
その		250	3.0593455
言い付ける	15135	248	3.0348708
マラソン	11989	247	3.0226334
国立	7561	244	2.9859212
ストッキング	33479	244	2.9859212
なだらか	33479	242	2.9614465
ガソリンスタンド	11989	241	2.9492091
けち	20515	241	2.9492091
入場	20515	239	2.9247343
飛行	33479	239	2.9247343
ハンドバッグ		238	2.9124969
図書	20515	235	2.8757848
バン		235	2.8757848
がっかり	20515	234	2.8635474
キャプテン	15135	234	2.8635474
ワイシャツ	20515	233	2.8513100
半島	20515	231	2.8268353
ばん	33479	231	2.8268353
うら	20515	229	2.8023605
切れ	8613	229	2.8023605
再三	20515	228	2.7901231
接近	33479	228	2.7901231
不		228	2.7901231
連合	10002	228	2.7901231
クリーニング	33479	224	2.7411736
せ		224	2.7411736
見送り	20515	224	2.7411736
ガム		222	2.7166988
来日	6219	220	2.6922241
外科	20515	217	2.6555119
夫妻	33479	216	2.6432745
ロッカー		216	2.6432745
通過	20515	213	2.6065624
トランプ		213	2.6065624
点々		212	2.5943250
ひびき	929	211	2.5820876
書道		210	2.5698502
ダイヤル		208	2.5453755
課		207	2.5331381
南極	15135	207	2.5331381
予備	20515	207	2.5331381
救助	20515	205	2.5086633
グランド		205	2.5086633
開放	33479	204	2.4964260
オーバー	20515	202	2.4719512
コーラス	20515	202	2.4719512
人工		202	2.4719512
物理	33479	202	2.4719512
休業		200	2.4474764
海洋	33479	199	2.4352390
逆様		199	2.4352390
判子	11989	198	2.4230017
来		197	2.4107643
夕刊	33479	197	2.4107643
熱帯		196	2.3985269
くどい	20515	194	2.3740521
真中	10002	192	2.3495774
うろうろ	33479	191	2.3373400
ハイキング	33479	191	2.3373400
破産	15135	191	2.3373400
キャンパス	33479	190	2.3251026
コンクール		189	2.3128652
メーター		189	2.3128652
コック	20515	186	2.2761531
セメント	20515	186	2.2761531
ランニング	20515	183	2.2394409
売り切れる	33479	182	2.2272035
どれ	20515	180	2.2027288
湯飲み		180	2.2027288
ノック	33479	179	2.1904914
スチュワーデス	33479	178	2.1782540
大戦	33479	177	2.1660166
航空	33479	176	2.1537793
めっきり	10002	175	2.1415419
実用	15135	173	2.1170671
さて		172	2.1048297
万		172	2.1048297
よう		170	2.0803550
エスカレーター		168	2.0558802
客間	33479	168	2.0558802
ラケット		166	2.0314054
工芸	33479	160	1.9579811
しゃぶる		159	1.9457438
文芸	15135	159	1.9457438
合同	8613	157	1.9212690
ピクニック	20515	156	1.9090316
レジャー	33479	156	1.9090316
定期	15135	155	1.8967942
友好	10002	155	1.8967942
地帯		154	1.8845568
ファスナー	11989	154	1.8845568
じゃんけん	33479	153	1.8723195
ぴたり		149	1.8233699
分数	20515	149	1.8233699
国際	7561	148	1.8111326
オルガン		147	1.7988952
ブローチ	20515	146	1.7866578
元日	33479	143	1.7499456
造船	33479	139	1.7009961
わん		139	1.7009961
さす		136	1.6642840
ウール	33479	135	1.6520466
小数	33479	134	1.6398092
スケート	15135	131	1.6030971
発電	15135	131	1.6030971
規準		129	1.5786223
プラットホーム	33479	128	1.5663849
温い		126	1.5419101
ようし		126	1.5419101
散らかす		124	1.5174354
しん		123	1.5051980
述語		123	1.5051980
ステレオ		123	1.5051980
