lemma	core_rank	frequency	pmw
残す	556	10486	128.3211888
以下	593	10453	127.9173552
同様	746	10395	127.2075870
新た	316	10306	126.1184600
山	486	10224	125.1149947
夫	627	10193	124.7356358
妻	627	10154	124.2583779
場	587	10141	124.0992920
男性	319	10117	123.8055948
数	695	10074	123.2793874
朝	856	10035	122.8021295
海	437	10019	122.6063313
動く	561	9994	122.3003968
無くなる	669	9982	122.1535482
一月	424	9978	122.1045987
どうして	825	9976	122.0801239
社会	455	9974	122.0556492
意見	486	9936	121.5906286
語る	340	9936	121.5906286
大変	721	9844	120.4647895
光	1024	9777	119.6448849
広い	677	9773	119.5959353
国民	257	9751	119.3267129
町	574	9712	118.8494550
首	825	9578	117.2096458
今度	880	9578	117.2096458
友達	1011	9532	116.6467263
事件	428	9516	116.4509281
人生	1048	9474	115.9369581
金	746	9354	114.4684722
名	733	9305	113.8688405
効果	530	9269	113.4282948
殺す	841	9181	112.3514051
限る	992	9177	112.3024556
立場	976	9166	112.1678444
落ちる	811	9134	111.7762482
取れる	548	9116	111.5559753
病院	445	9061	110.8829193
失う	580	9060	110.8706819
土地	959	9045	110.6871212
一日	556	9041	110.6381716
元	825	9035	110.5647474
起こす	548	9008	110.2343380
現実	911	8889	108.7780896
歴史	754	8886	108.7413774
再び	677	8784	107.4931644
耳	1148	8714	106.6365477
一方	327	8684	106.2694262
母親	695	8650	105.8533552
研究	754	8625	105.5474207
売る	686	8605	105.3026730
病気	686	8562	104.7764656
何とか	1024	8518	104.2380208
活動	381	8387	102.6349237
周り	992	8378	102.5247873
美しい	618	8322	101.8394939
資料	525	8299	101.5580341
政府	437	8299	101.5580341
決して	959	8267	101.1664379
生ずる	1395	8143	99.6490025
責任	534	8124	99.4164923
商品	516	8114	99.2941184
実	1629	8073	98.7923858
年	754	8059	98.6210624
大事	841	8042	98.4130269
今年	304	8026	98.2172288
行動	841	7994	97.8256326
経験	772	7948	97.2627130
食事	784	7944	97.2137635
結構	640	7940	97.1648139
雨	863	7925	96.9812532
九	825	7896	96.6263691
着る	721	7855	96.1246365
過去	709	7853	96.1001617
夏	686	7853	96.1001617
十	797	7817	95.6596159
ゆっくり	1500	7753	94.8764235
テレビ	772	7736	94.6683880
完全	1108	7696	94.1788927
考え	525	7691	94.1177058
一体	1048	7682	94.0075694
大学	486	7671	93.8729582
面	1128	7582	92.7838311
直接	825	7519	92.0128761
結局	721	7511	91.9149770
明日	856	7506	91.8537901
友人	863	7415	90.7401883
表情	1024	7406	90.6300519
空	1361	7387	90.3975416
調査	469	7381	90.3241173
近く	754	7380	90.3118800
はい	1952	7379	90.2996426
回る	825	7334	89.7489604
自然	976	7302	89.3573642
横	1589	7299	89.3206520
犬	1199	7221	88.3661362
許す	895	7201	88.1213886
合う	1072	7173	87.7787419
味	640	7133	87.2892466
はっきり	1465	7113	87.0444989
積極的	445	7060	86.3959177
文字	1845	7031	86.0410336
全体	895	6975	85.3557402
息子	633	6973	85.3312654
気分	1177	6965	85.2333664
ちゃんと	1108	6958	85.1477047
右	1072	6953	85.0865178
機能	703	6919	84.6704468
大人	662	6905	84.4991235
機会	520	6892	84.3400375
三つ	784	6885	84.2543758
予定	505	6862	83.9729160
月	895	6855	83.8872544
方向	929	6823	83.4956581
絵	959	6801	83.2264357
毎日	992	6789	83.0795871
火	2061	6750	82.6023292
パソコン	618	6745	82.5411423
流れ	944	6698	81.9659854
建物	1219	6690	81.8680863
集める	633	6662	81.5254396
戦争	1199	6638	81.2317424
では	880	6611	80.9013331
説明	653	6604	80.8156714
父親	1148	6528	79.8856304
後ろ	1702	6516	79.7387818
身体	2464	6513	79.7020697
技術	669	6505	79.6041706
手紙	1760	6482	79.3227108
今後	428	6480	79.2982361
種類	1629	6474	79.2248118
額	3054	6466	79.1269127
どうしても	1048	6449	78.9188772
制度	709	6387	78.1601595
命	618	6362	77.8542250
ドア	1702	6360	77.8297502
以前	880	6356	77.7808007
自由	669	6356	77.7808007
個人	1500	6345	77.6461895
他人	1148	6320	77.3402549
イメージ	1148	6297	77.0587951
教育	574	6238	76.3367896
家庭	911	6217	76.0798046
運ぶ	841	6217	76.0798046
英語	2061	6199	75.8595317
有名	1281	6199	75.8595317
黒	323	6196	75.8228195
土	3202	6195	75.8105822
記事	1245	6154	75.3088495
人物	1326	6140	75.1375261
感じる	721	6133	75.0518645
絶対	1108	6133	75.0518645
何でも	959	6128	74.9906776
金額	1465	6127	74.9784402
ホテル	797	6096	74.5990813
意識	880	6086	74.4767075
仕方	1465	6083	74.4399954
春	1245	6056	74.1095861
酒	1545	6049	74.0239244
